Time,Signal,Fault
0.0,0.08838307590173927,0
0.0002,0.24812484043129493,0
0.0004,0.27089621517026835,0
0.0006000000000000001,0.5850644474214104,0
0.0008,0.8061486739186183,0
0.001,0.9316199592628446,0
0.0012000000000000001,0.9353955557458425,0
0.0014,1.0392649205205895,0
0.0016,1.051096401153203,0
0.0018000000000000002,0.9888891478861109,0
0.002,0.9145089631903917,0
0.0022,0.8359257752944844,0
0.0024000000000000002,1.0097562329893188,0
0.0026000000000000003,0.7345156467574583,0
0.0028,0.9087785131577356,0
0.003,0.9320984286327068,0
0.0032,0.9517201348430814,0
0.0034000000000000002,0.9161291475997436,0
0.0036000000000000003,0.8680155551361497,0
0.0038,0.8194023916153659,0
0.004,0.9175934570132146,0
0.004200000000000001,0.8346419309530804,0
0.0044,0.7073051571524144,0
0.0046,0.676395934076637,0
0.0048000000000000004,0.5478021514681244,0
0.005,0.5689842227562155,0
0.005200000000000001,0.4385009604294355,0
0.0054,0.3597110806504457,0
0.0056,0.41342431404749413,0
0.0058000000000000005,0.20403955392136347,0
0.006,0.5442582045447429,0
0.006200000000000001,0.4676264005804333,0
0.0064,0.5779584838807694,0
0.0066,0.9471696533751357,0
0.0068000000000000005,0.9921557476111844,0
0.007,1.1810230739583338,0
0.007200000000000001,1.083162035185075,0
0.0074,1.1579090787442166,0
0.0076,1.1909062555397412,0
0.0078000000000000005,1.2956226549942993,0
0.008,1.2457250017971229,0
0.0082,1.013418952088545,0
0.008400000000000001,0.9184050402732852,0
0.0086,0.7738737511944427,0
0.0088,0.6288236818409797,0
0.009000000000000001,0.5467786169171756,0
0.0092,0.5540644181510062,0
0.0094,0.28807913847624117,0
0.009600000000000001,0.1735094006283699,0
0.0098,0.04478666836901045,0
0.01,-0.05728957452304469,0
0.0102,-0.17352759902395054,0
0.010400000000000001,-0.2496967245429364,0
0.0106,-0.2782132747147713,0
0.0108,-0.4594735764859751,0
0.011000000000000001,-0.4023508673026326,0
0.0112,-0.7031212201754576,0
0.0114,-0.8882971267446634,0
0.011600000000000001,-0.9197052295990713,0
0.0118,-1.12178169117308,0
0.012,-0.9460311363839856,0
0.0122,-1.2710158620182765,0
0.012400000000000001,-1.325634394015969,0
0.0126,-1.2639512942092967,0
0.0128,-1.121975903911165,0
0.013000000000000001,-1.0865182313218924,0
0.0132,-0.9366935662777712,0
0.0134,-0.9255530635182987,0
0.013600000000000001,-0.7056436567803401,0
0.013800000000000002,-0.3915215577173823,0
0.014,-0.43642857954062,0
0.0142,-0.6208393940507387,0
0.014400000000000001,-0.4734490232026215,0
0.0146,-0.3243785581512058,0
0.0148,-0.35979577810376767,0
0.015000000000000001,-0.6186862447878455,0
0.0152,-0.5643396813151637,0
0.0154,-0.6278863432453211,0
0.015600000000000001,-0.8172150898156506,0
0.0158,-0.8578528884570024,0
0.016,-0.7759988061206315,0
0.0162,-0.8881280035889195,0
0.0164,-0.8890481985409913,0
0.0166,-0.8838945199340097,0
0.016800000000000002,-0.7503982911864501,0
0.017,-0.8203767541602442,0
0.0172,-0.7261840423318837,0
0.017400000000000002,-0.8024100743648801,0
0.0176,-0.9133723930996502,0
0.0178,-0.9549430847169111,0
0.018000000000000002,-0.9553738081715512,0
0.0182,-0.951241415623461,0
0.0184,-0.9668908114578322,0
0.018600000000000002,-0.9201781048348049,0
0.0188,-1.1964043300926934,0
0.019,-0.9710111697618009,0
